CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
FELONY ASSAULT,01/20/2025 05:05:00 PM,25-003115,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,34X,8539 BANCROFT AV,Oakland,CA,POINT (-122.16835 37.75697)
PETTY THEFT,01/24/2025 07:35:00 PM,25-003866,THEFT,31Z,505 105TH AV,Oakland,CA,POINT (-122.17956 37.73133)
PETTY THEFT,01/26/2025 09:00:00 PM,25-004441,THEFT,08X,420 FAIRMOUNT AV,Oakland,CA,POINT (-122.2557 37.81928)
PETTY THEFT,02/02/2025 05:25:00 PM,25-005232,THEFT,35X,9026 BANCROFT AV,Oakland,CA,POINT (-122.16523 37.75314)
PETTY THEFT,02/07/2025 11:57:00 AM,25-005849,THEFT,07X,3700 MANDELA PKWY,Oakland,CA,POINT (-122.28692 37.82768)
PETTY THEFT,02/04/2025 12:00:00 AM,25-006673,THEFT,28X,2950 MORCOM AV,Oakland,CA,POINT (-122.19111 37.77834)
BURG - RESIDENTIAL,02/15/2025 10:10:00 PM,25-007119,BURGLARY-FORCIBLE ENTRY,11X,715 62ND ST,Oakland,CA,POINT (-122.26915 37.8472)
PETTY THEFT,02/15/2025 09:00:00 PM,25-007323,THEFT,35Y,4821 GRASS VALLEY RD,Oakland,CA,POINT (-122.12038 37.75244)
ROBBERY,02/22/2025 10:00:00 PM,25-008445,ROBBERY-FIREARM,77X,UNKNOWN,Oakland,CA,
MISDEMEANOR ASSAULT,02/25/2025 12:02:00 PM,25-008767,THEFT,24X,4039 BROOKDALE AV,Oakland,CA,POINT (-122.2053 37.78353)
ARSON,02/28/2025 06:00:00 PM,25-009437,ATTEMPT ARSON,19X,1246 20TH AV,Oakland,CA,POINT (-122.24023 37.78556)
PETTY THEFT,02/25/2025 10:00:00 AM,25-009684,THEFT,20X,2615 E 12TH ST,Oakland,CA,POINT (-122.2331 37.77956)
BURG - AUTO,03/07/2025 11:23:00 AM,25-010438,BURGLARY-AUTO,77X,9725 14TH ST,Oakland,CA,POINT (-122.17116 37.74458)
PETTY THEFT,03/08/2025 07:00:00 PM,25-011041,THEFT,22X,3809 LINCOLN AV,Oakland,CA,POINT (-122.21079 37.80304)
DUI,03/15/2025 08:02:00 PM,25-011865,DUI ALCOHOL/DRUGS,30X,2111 CHURCH ST,Oakland,CA,POINT (-122.18395 37.7653)
PETTY THEFT,03/17/2025 10:36:00 AM,25-012056,THEFT,77X,UNKNOWN,Oakland,CA,
PETTY THEFT,03/01/2025 02:30:00 PM,25-012102,THEFT,19X,37 8TH AV,Oakland,CA,POINT (-122.25928 37.78734)
VANDALISM,03/17/2025 05:30:00 AM,25-012161,TAMPER WITH VEHICLE,25X,22 FIELDBROOK PL,Oakland,CA,POINT (-122.18093 37.79475)
GRAND THEFT,03/26/2025 05:00:00 PM,25-013548,THEFT,04X,2050 WEBSTER ST,Oakland,CA,POINT (-122.266 37.80914)
PETTY THEFT,03/30/2025 03:31:00 PM,25-014103,THEFT,33X,1335 98TH AV,Oakland,CA,POINT (-122.17115 37.74407)
STOLEN VEHICLE,04/02/2025 06:00:00 AM,25-014707,VEHICLE THEFT - AUTO,17Y,1203 E 24TH ST,Oakland,CA,POINT (-122.2386 37.79705)
PETTY THEFT,04/04/2025 12:00:00 AM,25-015049,THEFT,77X,UNKNOWN,Oakland,CA,
DUI,04/08/2025 01:52:00 AM,25-015568,DUI ALCOHOL/DRUGS,18X,1800 FOOTHILL BLVD,Oakland,CA,POINT (-122.24036 37.78865)
STOLEN VEHICLE,04/09/2025 04:29:00 PM,25-016067,VEHICLE THEFT - AUTO,04X,500 17TH ST,Oakland,CA,POINT (-122.27044 37.80684)
PETTY THEFT,04/16/2025 09:00:00 PM,25-017072,THEFT,29X,5815 FLEMING AV,Oakland,CA,POINT (-122.19 37.77288)
DUI,02/16/2025 06:21:00 PM,25-077421,DUI ALCOHOL/DRUGS,20X,800 29TH AV,Oakland,CA,POINT (-122.2324 37.77588)
BURG - AUTO,01/29/2025 09:35:00 PM,25-901020,BURGLARY-AUTO,03X,800 BROADWAY,Oakland,CA,POINT (-122.27368 37.80032)
BURG - AUTO,01/31/2025 05:25:00 PM,25-901099,BURGLARY-AUTO,99X,41ST ST,Oakland,CA,
BURG - AUTO,01/28/2025 06:00:00 PM,25-901214,BURGLARY-AUTO,99X,BROADWAY,Oakland,CA,
BURG - AUTO,01/25/2025 08:35:00 PM,25-902152,BURGLARY-AUTO,77X,COLLEGE AVE,Oakland,CA,
PETTY THEFT,03/15/2025 11:30:00 PM,25-902309,THEFT,77X,18TH ST,Oakland,CA,
BURG - AUTO,03/10/2025 09:00:00 PM,25-902364,BURGLARY-AUTO,77X,SAN PABLO AVE,Oakland,CA,
,03/31/2025 11:35:00 AM,25-903195,VANDALISM,04X,245 17TH ST,Oakland,CA,POINT (-122.26441 37.805)
,04/11/2025 03:22:00 AM,25-903469,VANDALISM,,BAYO ST,Oakland,CA,
WEAPONS,02/10/2025 03:08:00 PM,25-006294,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,32X,1300 104TH AV,Oakland,CA,POINT (-122.16917 37.73893)
MISDEMEANOR ASSAULT,04/13/2025 12:00:00 PM,25-016424,BATTERY,12X,526 40TH ST,Oakland,CA,POINT (-122.26541 37.82931)
FELONY ASSAULT,01/26/2025 05:53:00 AM,25-004039,BURGLARY-FORCIBLE ENTRY,21Y,3153 CHAMPION ST,Oakland,CA,POINT (-122.21608 37.79657)
BURG - AUTO,01/28/2025 12:00:00 PM,25-004437,BURGLARY-AUTO,14X,375 GRAND AV,Oakland,CA,POINT (-122.25483 37.80841)
STOLEN VEHICLE,01/20/2025 01:35:00 AM,25-003005,VEHICLE THEFT - AUTO,31Z,165 GHORMLEY AV,Oakland,CA,POINT (-122.18507 37.73096)
PETTY THEFT,03/12/2025 08:00:00 AM,25-011217,THEFT,31Y,165 98TH AV,Oakland,CA,POINT (-122.19542 37.72987)
VANDALISM,03/16/2025 12:00:00 AM,25-012020,VANDALISM,23X,1829 40TH AV,Oakland,CA,POINT (-122.21583 37.77723)
MISDEMEANOR ASSAULT,03/31/2025 05:30:00 PM,25-014272,THEFT,01X,336 WATER ST,Oakland,CA,POINT (-122.27605 37.79425)
FELONY ASSAULT,03/15/2025 10:24:00 AM,25-011803,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,30Y,78TH AV & BANCROFT AV,Oakland,CA,POINT (-122.17402 37.76336)
STOLEN VEHICLE,02/08/2025 12:00:00 PM,25-006349,SC STOLEN VEHICLE - AUTO,27Y,1700 SEMINARY AV,Oakland,CA,POINT (-122.1973 37.76668)
STOLEN VEHICLE,03/21/2025 11:00:00 AM,25-015466,VEHICLE THEFT - AUTO,35X,9765 MOUNTAIN BLVD,Oakland,CA,POINT (-122.14986 37.75407)
DUI,02/17/2025 08:02:00 PM,25-007580,DUI ALCOHOL/DRUGS,34X,2100 94TH AV,Oakland,CA,POINT (-122.16483 37.75081)
VANDALISM,04/12/2025 06:50:00 AM,25-016279,VANDALISM,09X,77 GLEN AV,Oakland,CA,POINT (-122.25043 37.82538)
FRAUD,03/05/2025 12:00:00 AM,25-011294,WITH INTENT TO DEFRAUD ACQUIRE ID OF PERS DEPLOYED OUT OF STATE (AMENDED TO:COMMIT MAIL THEFT),77X,830 POPLAR WY,Oakland,CA,POINT (-122.29114 37.80603)
FELONY ASSAULT,02/02/2025 02:06:00 AM,25-005034,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,1824 55TH AV,Oakland,CA,POINT (-122.19979 37.76986)
OTHER,02/05/2025 09:12:00 AM,25-005556,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,24Y,4016 PENNIMAN AV,Oakland,CA,POINT (-122.20241 37.78596)
DISORDERLY CONDUCT,03/13/2025 02:30:00 PM,25-011430,DISTURB THE PEACE,16X,3250 LAKESHORE AV,Oakland,CA,POINT (-122.24459 37.80991)
WEAPONS,03/15/2025 04:02:00 PM,25-011844,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,03X,11TH ST & BROADWAY,Oakland,CA,POINT (-122.27248 37.80224)
STOLEN VEHICLE,01/29/2025 09:45:00 PM,25-004635,VEHICLE THEFT - AUTO,14X,396 EUCLID AV,Oakland,CA,POINT (-122.25157 37.81114)
BURG - AUTO,02/07/2025 10:03:00 AM,25-902442,BURGLARY-AUTO,23X,1467 42ND AV,Oakland,CA,POINT (-122.21569 37.77349)
BURG - COMMERCIAL,02/16/2025 07:31:00 AM,25-007325,BURGLARY-FORCIBLE ENTRY,14Y,3277 LAKESHORE AV,Oakland,CA,POINT (-122.2445 37.8106)
GRAND THEFT,03/30/2025 12:41:00 AM,25-014159,GRAND THEFT FROM PERSON,04X,1724 BROADWAY,Oakland,CA,POINT (-122.2695 37.80704)
PETTY THEFT,02/12/2025 04:46:00 AM,25-902472,THEFT,07X,2856 HELEN ST,Oakland,CA,POINT (-122.28555 37.82321)
FELONY WARRANT,02/14/2025 07:41:00 PM,25-007101,THEFT,20X,2544 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.23292 37.78161)
PETTY THEFT,03/19/2025 11:31:00 AM,25-012401,THEFT,25X,3668 GREEN ACRE RD,Oakland,CA,POINT (-122.19147 37.78642)
MISDEMEANOR ASSAULT,02/25/2025 09:15:00 PM,25-008846,VIOLATION OF PROBATION-FELONY,27Y,2600 63RD AV,Oakland,CA,POINT (-122.18732 37.76957)
PETTY THEFT,02/27/2025 09:00:00 AM,25-009323,THEFT,17Y,2105 11TH AV,Oakland,CA,POINT (-122.24216 37.79609)
THREATS,02/04/2025 10:45:00 AM,25-005423,VANDALISM,20X,3020 E 18TH ST,Oakland,CA,POINT (-122.22443 37.78225)
BURG - AUTO,04/13/2025 12:40:00 PM,25-016452,BURGLARY-AUTO,21Y,BONA ST & DEERING ST,Oakland,CA,POINT (-122.21355 37.78986)
WEAPONS,02/03/2025 02:00:00 PM,25-005274,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,20X,3111 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.22624 37.7774)
STOLEN VEHICLE,02/27/2025 11:00:00 PM,25-009344,VEHICLE THEFT - AUTO,25X,3773 39TH AV,Oakland,CA,POINT (-122.19466 37.79154)
OTHER,02/12/2025 08:30:00 PM,25-006802,SC UNEXPLAINED DEATH,10Y,933 46TH ST,Oakland,CA,POINT (-122.27418 37.83528)
,04/18/2025 03:21:00 AM,25-017155,EXHIBIT FIREARM,04X,134 14TH ST.,Oakland,CA,POINT (-122.26346 37.80128)
BURG - RESIDENTIAL,02/08/2025 04:00:00 AM,25-901530,BURGLARY-NO FORCE,06X,1028 36TH ST,Oakland,CA,POINT (-122.27781 37.82696)
STOLEN VEHICLE,01/26/2025 02:00:00 AM,25-004308,VEHICLE THEFT - AUTO,30Y,2821 76TH AV,Oakland,CA,POINT (-122.16939 37.76786)
PETTY THEFT,03/30/2025 04:00:00 PM,25-014264,THEFT,32X,1085 100TH AV,Oakland,CA,POINT (-122.17456 37.73995)
STOLEN VEHICLE,04/17/2025 04:50:00 PM,25-017094,VEHICLE THEFT - AUTO,03X,14TH ST & MADISON ST,Oakland,CA,POINT (-122.26406 37.80151)
VANDALISM,03/05/2025 09:00:00 AM,25-010028,VANDALISM [UNDER $400],23X,1833 33RD AV,Oakland,CA,POINT (-122.22219 37.78238)
GRAND THEFT,04/04/2025 10:42:00 AM,25-015002,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,26X,4301 SAN LEANDRO ST,Oakland,CA,POINT (-122.21705 37.77026)
OTHER,03/03/2025 09:13:00 PM,25-009714,CONTEMPT OF COURT:DISORDERLY/ETC BEHAVIOR,30X,7423 FRESNO ST,Oakland,CA,POINT (-122.17827 37.76372)
PETTY THEFT,02/26/2025 12:00:00 AM,25-008986,THEFT,32X,10431 ROYAL ANN ST,Oakland,CA,POINT (-122.17091 37.73752)
STOLEN VEHICLE,02/06/2025 03:30:00 PM,25-005870,VEHICLE THEFT - AUTO,06X,3203 MARKET ST,Oakland,CA,POINT (-122.27599 37.8225)
POSSESSION - STOLEN PROPERTY,03/12/2025 02:15:00 PM,25-011272,POSSESS/ETC BURGLARY TOOLS,33X,1001 83RD AV,Oakland,CA,POINT (-122.18487 37.75143)
MISDEMEANOR ASSAULT,02/02/2025 08:00:00 AM,25-005052,ASSAULT WITH CAUSTIC CHEMICAL/ETC,21Y,3014 FRUITVALE AV,Oakland,CA,POINT (-122.218 37.79492)
,04/11/2025 03:20:00 PM,25-903422,VANDALISM,,MARTIN LUTHER KING JR WAY,Oakland,CA,
ROBBERY,02/05/2025 06:45:00 PM,25-005654,ROBBERY-FIREARM,22Y,3290 DELAWARE ST,Oakland,CA,POINT (-122.20363 37.79339)
FELONY ASSAULT,02/10/2025 01:17:00 AM,25-006177,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,27X,2222 48TH AV,Oakland,CA,POINT (-122.20472 37.77662)
STOLEN VEHICLE,03/26/2025 04:30:00 PM,25-013461,VEHICLE THEFT - AUTO,26Y,6830 HAWLEY ST,Oakland,CA,POINT (-122.19711 37.75726)
FELONY ASSAULT,03/13/2025 03:32:00 AM,25-011348,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35Y,KELLER AV & FONTAINE ST,Oakland,CA,POINT (-122.15686 37.7715)
BURG - AUTO,01/31/2025 08:00:00 PM,25-901192,BURGLARY-AUTO,08X,379 26TH ST,Oakland,CA,POINT (-122.26577 37.81504)
RECOVERED O/S STOLEN,02/26/2025 01:33:00 PM,25-008954,VEHICLE THEFT - AUTO,06X,875 APGAR ST,Oakland,CA,POINT (-122.27356 37.82888)
DOMESTIC VIOLENCE,02/02/2025 08:04:00 PM,25-005144,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,2170 E 28TH ST,Oakland,CA,POINT (-122.22776 37.79474)
BURG - AUTO,04/01/2025 09:40:00 AM,25-014503,BURGLARY-AUTO,04X,1700 CASTRO ST,Oakland,CA,POINT (-122.27555 37.80892)
,04/11/2025 02:18:00 AM,25-903470,VANDALISM,17Y,2441 9TH AVE,Oakland,CA,POINT (-122.24056 37.79989)
BURG - RESIDENTIAL,03/11/2025 12:44:00 PM,25-011189,ATTEMPTED BURGLARY,24X,2222 HARRINGTON AV,Oakland,CA,POINT (-122.21272 37.7844)
STOLEN VEHICLE,03/22/2025 03:14:00 AM,25-012803,VEHICLE THEFT - AUTO,19X,272 E 12TH ST,Oakland,CA,POINT (-122.2565 37.79695)
STOLEN VEHICLE,01/25/2025 04:30:00 PM,25-004018,VEHICLE THEFT - AUTO,34X,1945 85TH AV,Oakland,CA,POINT (-122.17133 37.75646)
WEAPONS,04/08/2025 05:00:00 PM,25-015682,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,26Y,6500 FENHAM ST,Oakland,CA,POINT (-122.19802 37.7601)
DOMESTIC VIOLENCE,02/25/2025 11:15:00 PM,25-008857,CRUELTY TO ANIMALS,77X,3883 TURQUOISE WY,Oakland,CA,POINT (-122.26589 37.82844)
STOLEN VEHICLE,03/07/2025 09:30:00 PM,25-010815,VEHICLE THEFT - AUTO,23X,FARNAM ST & FRUITVALE AV,Oakland,CA,POINT (-122.22556 37.77815)
,04/04/2025 07:50:00 PM,25-903126,BURGLARY-AUTO,,27 TELEGRAPH AVE,Oakland,CA,
FELONY ASSAULT,03/14/2025 08:00:00 AM,25-012833,CRUELTY TO ELDER/DEPENDENT ADULT WITH LIKELY GBI OR DEATH,21Y,2322 FRUITVALE AV,Oakland,CA,POINT (-122.22171 37.78553)
VANDALISM,03/02/2025 04:00:00 AM,25-901587,VANDALISM,16Y,4673 PARK BLVD,Oakland,CA,POINT (-122.21666 37.81089)
BURG - AUTO,03/13/2025 08:30:00 PM,25-011639,BURGLARY-AUTO,03Y,9TH ST & CLAY ST,Oakland,CA,POINT (-122.27575 37.80181)
DOMESTIC VIOLENCE,03/20/2025 12:00:00 PM,25-013683,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,07X,2601 WOOD ST,Oakland,CA,POINT (-122.29092 37.82195)
GRAND THEFT,02/14/2025 04:30:00 PM,25-007081,GRAND THEFT,03X,388 9TH ST,Oakland,CA,POINT (-122.2715 37.80015)
MISDEMEANOR ASSAULT,02/28/2025 01:58:00 AM,25-009206,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,21X,25TH AV & E 27TH ST,Oakland,CA,POINT (-122.22403 37.79229)
STOLEN VEHICLE,03/20/2025 07:45:00 AM,25-012525,VEHICLE THEFT - AUTO,30X,2300 DASHWOOD AV,Oakland,CA,POINT (-122.17752 37.76232)
ARSON,01/30/2025 12:59:00 AM,25-004615,ARSON: PROPERTY,12X,500 41ST ST,Oakland,CA,POINT (-122.26441 37.82998)
STOLEN VEHICLE,02/02/2025 08:00:00 PM,25-005224,VEHICLE THEFT - AUTO,08X,3229 ELM ST,Oakland,CA,POINT (-122.26546 37.82132)
NARCOTICS,03/30/2025 03:40:00 PM,25-014107,POSSESS NARCOTIC CONTROLLED SUBSTANCE,01X,650 4TH ST,Oakland,CA,POINT (-122.28031 37.79933)
DOMESTIC VIOLENCE,01/23/2025 09:49:00 AM,25-003619,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,401 DERBY AV,Oakland,CA,POINT (-122.23187 37.7717)
NARCOTICS,03/09/2025 02:12:00 PM,25-010774,MISD-CARRY CONCEALED DIRK OR DAGGER,29X,5700 FOOTHILL BLVD,Oakland,CA,POINT (-122.19351 37.77215)
BURG - AUTO,02/06/2025 08:58:00 PM,25-901279,BURGLARY-AUTO,12Y,5655 COLLEGE AV,Oakland,CA,POINT (-122.25171 37.84392)
,03/24/2025 03:42:00 PM,25-902651,BURGLARY-AUTO,12Y,5616 OCEAN VIEW DRIVE,Oakland,CA,POINT (-122.251 37.84353)
GRAND THEFT,02/14/2025 04:00:00 PM,25-007239,GRAND THEFT,29X,3017 62ND AV,Oakland,CA,POINT (-122.18429 37.77293)
WEAPONS,02/02/2025 01:44:00 PM,25-005090,CARRY CONCEALED WEAPON ON PERSON,26Y,1211 71ST AV,Oakland,CA,POINT (-122.18976 37.75926)
NARCOTICS,03/07/2025 11:47:00 AM,25-010415,EVADE TAXES ON CIGARETTES/ETC,15X,332 E 18TH ST,Oakland,CA,POINT (-122.25131 37.79972)
KIDNAPPING,03/25/2025 01:00:00 AM,25-013234,KIDNAPPING,14X,250 GRAND AV,Oakland,CA,POINT (-122.25909 37.80964)
THREATS,03/21/2025 09:49:00 PM,25-012770,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27Y,5451 CRITTENDEN ST,Oakland,CA,POINT (-122.20328 37.76932)
PETTY THEFT,02/14/2025 04:00:00 PM,25-007411,THEFT,09X,206 JOHN ST,Oakland,CA,POINT (-122.25084 37.83046)
MISDEMEANOR ASSAULT,02/06/2025 07:00:00 PM,25-005800,CRUELTY TO ANIMAL,22Y,3253 BRUNELL DR,Oakland,CA,POINT (-122.18686 37.80579)
MISDEMEANOR ASSAULT,01/31/2025 03:40:00 PM,25-004837,BATTERY,17X,1830 10TH AV,Oakland,CA,POINT (-122.24517 37.7949)
FORGERY & COUNTERFEITING,02/01/2025 09:40:00 AM,25-902877,THEFT BY USE OF ACCESS CARD,09X,151 40TH ST,Oakland,CA,POINT (-122.25392 37.82582)
,04/02/2025 01:30:00 AM,25-903061,BURGLARY-AUTO,22X,1815 CLEMENS ROAD,Oakland,CA,POINT (-122.21147 37.81065)
STOLEN VEHICLE,01/30/2025 01:00:00 PM,25-004810,VEHICLE THEFT - AUTO,19X,1717 EMBARCADERO,Oakland,CA,POINT (-122.24421 37.785)
ROBBERY,02/15/2025 03:23:00 PM,25-006554,CARJACKING WITH FIREARM,12X,550 41ST ST,Oakland,CA,POINT (-122.26565 37.83062)
FELONY ASSAULT,02/11/2025 11:31:00 PM,25-006565,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,8320 A ST,Oakland,CA,POINT (-122.17977 37.75359)
OTHER,04/05/2025 12:00:00 PM,25-015175,BATTERY,24X,38TH AV & SAN JUAN ST,Oakland,CA,POINT (-122.21588 37.77961)
RECOVERED O/S STOLEN,03/05/2025 01:39:00 AM,25-010046,VEHICLE THEFT - AUTO,30Y,3920 COLUMBIAN DR,Oakland,CA,POINT (-122.16296 37.77466)
MISDEMEANOR ASSAULT,02/18/2025 07:30:00 AM,25-007635,MALICIOUSLY DESTROY OTHER'S PROPERTY,23X,4100 E 12TH ST,Oakland,CA,POINT (-122.2179 37.77229)
WEAPONS,02/28/2025 03:00:00 AM,25-009213,CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE,19X,12TH AV & E 15TH ST,Oakland,CA,POINT (-122.24711 37.79125)
BURG - AUTO,03/03/2025 08:30:00 PM,25-009716,BURGLARY-AUTO,12Y,5421 COLLEGE AV,Oakland,CA,POINT (-122.25137 37.84066)
BURG - AUTO,03/13/2025 09:00:00 AM,25-902196,BURGLARY-AUTO,06X,820 W MACARTHUR BLVD,Oakland,CA,POINT (-122.27211 37.82771)
FORCIBLE RAPE,02/15/2025 07:00:00 PM,25-008112,SODOMY,32Y,2036 105TH AV,Oakland,CA,POINT (-122.15968 37.74145)
BURG - AUTO,03/10/2025 07:00:00 AM,25-901960,BURGLARY-AUTO,27Y,2675 65TH AV,Oakland,CA,POINT (-122.18445 37.76964)
MISDEMEANOR ASSAULT,01/27/2025 05:20:00 PM,25-004252,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27X,46TH AV & MELROSE AV,Oakland,CA,POINT (-122.20821 37.7755)
ROBBERY,02/27/2025 05:26:00 AM,25-009061,IMPERSONATE PEACE OFFICER,06X,40TH ST & WEST ST,Oakland,CA,POINT (-122.27099 37.83017)
OTHER,03/03/2025 10:40:00 PM,25-009727,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,1367 102ND AV,Oakland,CA,POINT (-122.16891 37.74089)
BURG - AUTO,03/17/2025 08:15:00 PM,25-902320,BURGLARY-AUTO,08X,493 40TH ST,Oakland,CA,POINT (-122.26395 37.82909)
STOLEN VEHICLE,02/12/2025 07:17:00 AM,25-006626,VEHICLE THEFT - AUTO,35X,8330 IRIS ST,Oakland,CA,POINT (-122.16539 37.76093)
,04/15/2025 03:35:00 AM,25-903458,THEFT,03Y,1001 BROADWAY,Oakland,CA,POINT (-122.27297 37.80224)
STOLEN VEHICLE,01/19/2025 03:30:00 PM,25-003037,VEHICLE THEFT - AUTO,12X,488 48TH ST,Oakland,CA,POINT (-122.26216 37.8346)
BURG - AUTO,02/12/2025 10:28:00 AM,25-006615,BURGLARY-AUTO,09X,3840 PIEDMONT AV,Oakland,CA,POINT (-122.25506 37.8244)
BURG - COMMERCIAL,01/25/2025 02:23:00 AM,25-900906,BURGLARY-NO FORCE,03Y,722 WASHINGTON ST,Oakland,CA,POINT (-122.27502 37.80015)
PETTY THEFT,02/10/2025 08:00:00 AM,25-007559,THEFT,17Y,2300 PARK BLVD,Oakland,CA,POINT (-122.24517 37.80167)
STOLEN VEHICLE,02/09/2025 01:30:00 PM,25-006214,VEHICLE THEFT - AUTO,23X,4104 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.21653 37.77315)
STOLEN VEHICLE,03/07/2025 09:56:00 AM,25-010406,VEHICLE THEFT - AUTO,26X,5401 COLISEUM WY,Oakland,CA,POINT (-122.21205 37.76055)
DOMESTIC VIOLENCE,03/14/2025 01:01:00 PM,25-011683,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30Y,7314 HILLSIDE ST,Oakland,CA,POINT (-122.17319 37.76806)
FORGERY & COUNTERFEITING,02/10/2025 12:46:00 PM,25-006246,FORGERY,27X,2451 MAXWELL AV,Oakland,CA,POINT (-122.19982 37.7763)
MISDEMEANOR ASSAULT,02/03/2025 08:10:00 AM,25-005200,BATTERY,14X,429 BELLEVUE AV,Oakland,CA,POINT (-122.25261 37.80951)
PETTY THEFT,04/05/2025 08:52:00 AM,25-015127,THEFT:PERSONAL PROPERTY,30Y,3409 LAMP ST,Oakland,CA,POINT (-122.16232 37.76944)
OTHER,03/08/2025 12:00:00 AM,25-010516,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,8137 MACARTHUR BLVD,Oakland,CA,POINT (-122.16501 37.76283)
HOMICIDE,02/09/2025 12:00:00 AM,25-006083,SC UNEXPLAINED DEATH,34X,8414 HOLLY ST,Oakland,CA,POINT (-122.17602 37.75474)
FELONY ASSAULT,03/10/2025 02:35:00 AM,25-010859,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,27Y,5530 E 15TH ST,Oakland,CA,POINT (-122.20149 37.76773)
BURG - RESIDENTIAL,04/07/2025 10:52:00 PM,25-015619,BURGLARY-NO FORCE,13Z,6833 ARMOUR DR,Oakland,CA,POINT (-122.20351 37.83713)
BURG - COMMERCIAL,02/15/2025 07:30:00 AM,25-902662,BURGLARY-NO FORCE,14X,666 BELLEVUE AV,Oakland,CA,POINT (-122.25879 37.80795)
MISDEMEANOR ASSAULT,04/05/2025 10:00:00 PM,25-015276,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,1517 29TH AV,Oakland,CA,POINT (-122.2279 37.78049)
STOLEN VEHICLE,03/22/2025 03:00:00 PM,25-013014,VEHICLE THEFT - AUTO,33X,1001 84TH AV,Oakland,CA,POINT (-122.1842 37.75104)
FELONY ASSAULT,03/17/2025 08:12:00 PM,25-012141,THEFT,02Y,301 PERALTA ST,Oakland,CA,POINT (-122.30015 37.80358)
PETTY THEFT,02/02/2025 12:00:00 PM,25-005501,OBTAIN MONEY/ETC BY FALSE PRETENSES,33X,1300 90TH AV,Oakland,CA,POINT (-122.17608 37.74911)
THREATS,03/20/2025 10:38:00 PM,25-012610,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,3048 73RD AV,Oakland,CA,POINT (-122.16948 37.77153)
STOLEN VEHICLE,02/15/2025 08:08:00 PM,25-007282,VEHICLE THEFT - AUTO,77X,SHETLAND AV & GLEN ARTENY ST,Oakland,CA,POINT (-122.12331 37.75238)
HOMICIDE,04/09/2025 07:11:00 PM,25-015866,ANY PERSON WHO WILLFULLY THREATENS TO COMMIT A CRIME WHICH WILL RESULT IN DEATH OR GREAT BODILY INJURY TO ANOTHER PERSON,18X,1900 COMMERCE WY,Oakland,CA,POINT (-122.23797 37.78919)
MISDEMEANOR ASSAULT,04/03/2025 03:13:00 PM,25-014884,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17Y,1541 E 33RD ST,Oakland,CA,POINT (-122.22806 37.80018)
FELONY ASSAULT,02/09/2025 07:24:00 PM,25-006151,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,07X,1250 34TH ST,Oakland,CA,POINT (-122.28185 37.82584)
STOLEN VEHICLE,03/10/2025 07:50:00 AM,25-011042,VEHICLE THEFT - AUTO,19X,201 E 12TH ST,Oakland,CA,POINT (-122.25719 37.79718)
PETTY THEFT,03/10/2025 08:00:00 PM,25-011127,THEFT,18X,1751 E 20TH ST,Oakland,CA,POINT (-122.2383 37.79135)
ROBBERY,04/13/2025 10:10:00 PM,25-016509,ROBBERY-FIREARM,05Y,1703 18TH ST,Oakland,CA,POINT (-122.2945 37.81546)
STOLEN AND RECOVERED VEHICLE,04/07/2025 11:00:00 AM,25-015527,SC STOLEN VEHICLE - AUTO,29X,3586 SEMINARY AV,Oakland,CA,POINT (-122.18068 37.7795)
